"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures.math","schoolsup","famsup","paid.math","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences.math","G1.math","G2.math","G3.math","id.math","failures.por","paid.por","absences.por","G1.por","G2.por","G3.por","id.por","failures","paid","absences","G1","G2","G3","alc_use","high_use","cid"
"GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","mother",2,2,0,"yes","no","no","no","yes","yes","no","no",4,3,4,1,1,3,6,5,6,6,2001,0,"no",4,0,11,11,1001,0,"no",5,2,8,8,1,FALSE,3001
"GP","F",17,"U","GT3","T",1,1,"at_home","other","course","father",1,2,0,"no","yes","no","no","no","yes","yes","no",5,3,3,1,1,3,4,5,5,6,2002,0,"no",2,9,11,11,1002,0,"no",3,7,8,8,1,FALSE,3002
"GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,3,"yes","no","yes","no","yes","yes","yes","no",4,3,2,2,3,3,10,7,8,10,2003,0,"no",6,12,13,12,1003,2,"yes",8,10,10,11,2.5,TRUE,3003
"GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","yes",3,2,2,1,1,5,2,15,14,15,2004,0,"no",0,14,14,14,1004,0,"yes",1,14,14,14,1,FALSE,3004
"GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"no","yes","yes","no","yes","yes","no","no",4,3,2,1,2,5,4,6,10,10,2005,0,"no",0,11,13,13,1005,0,"yes",2,8,12,12,1.5,FALSE,3005
"GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,10,15,15,15,2006,0,"no",6,12,12,13,1006,0,"yes",8,14,14,14,1.5,FALSE,3006
"GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,12,12,11,2007,0,"no",0,13,12,13,1007,0,"no",0,12,12,12,1,FALSE,3007
"GP","F",17,"U","GT3","A",4,4,"other","teacher","home","mother",2,2,0,"yes","yes","no","no","yes","yes","no","no",4,1,4,1,1,1,6,6,5,6,2008,0,"no",2,10,13,13,1008,0,"no",4,8,9,10,1,FALSE,3008
"GP","M",15,"U","LE3","A",3,2,"services","other","home","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,2,2,1,1,1,0,16,18,19,2009,0,"no",0,15,16,17,1009,0,"yes",0,16,17,18,1,FALSE,3009
"GP","M",15,"U","GT3","T",3,4,"other","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",5,5,1,1,1,5,0,14,15,15,2010,0,"no",0,12,12,13,1010,0,"yes",0,13,14,14,1,FALSE,3010
"GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",3,3,3,1,2,2,0,10,8,9,2011,0,"no",2,14,14,14,1011,0,"yes",1,12,11,12,1.5,FALSE,3011
"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"no","yes","no","yes","yes","yes","yes","no",5,2,2,1,1,4,4,10,12,12,2012,0,"no",0,10,12,13,1012,0,"no",2,10,12,12,1,FALSE,3012
"GP","M",15,"U","LE3","T",4,4,"health","services","course","father",1,1,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,1,3,5,2,14,14,14,2013,0,"no",0,12,13,12,1013,0,"yes",1,13,14,13,2,FALSE,3013
"GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,0,"no","yes","yes","no","yes","yes","yes","no",5,4,3,1,2,3,2,10,10,11,2014,0,"no",0,12,12,13,1014,0,"yes",1,11,11,12,1.5,FALSE,3014
